,count
SQL,193
Power BI,155
Excel,150
CI/CD,147
Kubernetes,147
Figma,140
Agile,137
Docker,117
AWS,109
Stakeholder Management,105
Data Analysis,101
Python,97
Git,85
Java,76
Spring Boot,76
CSS,72
HTML,72
Google Analytics,71
SEO,71
React,68
Jira,62
PostgreSQL,62
Terraform,61
Communication,61
PyTorch,59
TensorFlow,59
TypeScript,55
HubSpot,53
REST API,53
Ansible,48
JavaScript,47
Pandas,46
Scikit-learn,46
Machine Learning,46
Jenkins,45
Adobe Creative Suite,42
Data Visualization,40
Tableau,40
Linux,39
Leadership,39
Deep Learning,37
Problem Solving,34
